Anime [id=1, name=星际牛仔, oldName=カウボーイビバップ, message=26话 / 1998年10月23日 / 渡辺信一郎 / 矢立肇 / 川元利浩, rating=9.1, number=4386]
Anime [id=2, name=攻壳机动队 S.A.C. 2nd GIG, oldName=攻殻機動隊 S.A.C. 2nd GIG, message=26话 / 2004年1月1日 / 神山健治 / 士郎正宗, rating=9.1, number=2703]
Anime [id=3, name=攻壳机动队 STAND ALONE COMPLEX, oldName=攻殻機動隊 STAND ALONE COMPLEX, message=26话 / 2002年10月1日 / 神山健治 / 士郎正宗 / 下村一, rating=9.0, number=3463]
Anime [id=4, name=CLANNAD ～AFTER STORY～, oldName=, message=24话 / 2008年10月2日 / 石原立也 / Key、Visual Art's / 池田和美, rating=9.0, number=7924]
Anime [id=5, name=新世纪福音战士, oldName=新世紀エヴァンゲリオン, message=26话 / 1995年10月4日 / 庵野秀明 / GAINAX / 貞本義行, rating=8.9, number=9194]
Anime [id=6, name=银魂', oldName=銀魂', message=51话 / 2011年4月4日, rating=8.9, number=6866]
Anime [id=7, name=攻壳机动队, oldName=GHOST IN THE SHELL / 攻殻機動隊, message=1995年11月18日 / 押井守 / 士郎正宗 / 沖浦啓之, rating=8.9, number=2782]
Anime [id=8, name=新世纪福音战士剧场版 Air/真心为你, oldName=新世紀エヴァンゲリオン劇場版 Air/まごころを、君に, message=1997年7月19日, rating=8.8, number=4267]
Anime [id=9, name=银魂, oldName=銀魂, message=201话 / 2006年4月4日 / 高松信司 / 空知英秋 / 竹内進二, rating=8.8, number=6460]
Anime [id=10, name=灌篮高手, oldName=スラムダンク, message=101话 / 1993年10月16日 / 井上雄彦, rating=8.8, number=4776]
Anime [id=11, name=白箱, oldName=SHIROBAKO, message=24话 / 2014年10月9日, rating=8.8, number=5606]
Anime [id=12, name=浪客剑心 追忆篇, oldName=るろうに剣心 -明治剣客浪漫譚- 追憶編, message=4话 / 1999年2月20日, rating=8.8, number=2236]
Anime [id=13, name=钢之炼金术师 FULLMETAL ALCHEMIST, oldName=鋼の錬金術師 FULLMETAL ALCHEMIST, message=64话 / 2009年4月5日 / 入江泰浩 / 荒川弘（掲載 月刊『少年ガンガン』スクウェア・エニックス刊） / 菅野宏紀, rating=8.7, number=6593]
Anime [id=14, name=虫师, oldName=蟲師, message=26话 / 2005年10月22日 / 長濵博史 / 馬越嘉彦, rating=8.7, number=4873]
Anime [id=15, name=银河英雄传说, oldName=銀河英雄伝説, message=110话 / 1988年1月8日 / 田中芳樹 / 本木久年(1期)、久米一成(2期)、清水恵蔵(3期～), rating=8.8, number=797]
Anime [id=16, name=福音战士新剧场版：破, oldName=ヱヴァンゲリヲン新劇場版:破, message=2009年6月27日, rating=8.7, number=5189]
Anime [id=17, name=猫和老鼠, oldName=Tom and Jerry, message=162话 / 1940年2月10日 / 约瑟夫·巴伯拉 / 威廉·汉纳 / 特克斯·艾弗里 / Michael Lah, rating=8.6, number=2207]
Anime [id=18, name=水星领航员 第三季, oldName=ARIA The ORIGINATION, message=14话 / 2008年1月7日 / 佐藤順一 / 天野こずえ / 古賀誠, rating=8.7, number=1005]
Anime [id=19, name=攻壳机动队2 无罪, oldName=イノセンス, message=1话 / 2004年3月6日 / 押井守, rating=8.6, number=2141]
Anime [id=20, name=天元突破 红莲螺岩, oldName=天元突破グレンラガン, message=27话 / 2007年4月1日, rating=8.6, number=4092]
Anime [id=21, name=蓝色恐惧, oldName=PERFECT BLUE, message=1话 / 1998年2月28日 / 今敏 / 竹内義和, rating=8.6, number=2149]
Anime [id=22, name=凉宫春日的消失, oldName=涼宮ハルヒの消失, message=1话 / 2010年2月6日 / 武本康弘 / 谷川流 / 池田晶子, rating=8.6, number=6922]
Anime [id=23, name=海贼王, oldName=ONE PIECE, message=1999年10月20日 / 宇田鋼之介、志水淳児→境宗久→宮元宏彰 / 尾田栄一郎 / 小泉昇→久田和也, rating=8.5, number=4843]
Anime [id=24, name=命运石之门, oldName=Steins;Gate, message=25话 / 2011年4月6日 / 佐藤卓哉、浜崎博嗣、小林智樹(第25話) / 坂井久太, rating=8.5, number=9821]
Anime [id=25, name=水星领航员 The AVVENIRE, oldName=ARIA The AVVENIRE, message=3话 / 2015年9月26日 / 佐藤順一 / 天野こずえ, rating=8.7, number=435]
Anime [id=26, name=千与千寻, oldName=千と千尋の神隠し, message=1话 / 2001年7月20日 / 宮崎駿, rating=8.5, number=6616]
Anime [id=27, name=蜂蜜与四叶草, oldName=ハチミツとクローバー, message=24话 / 2005年4月14日 / カサヰケンイチ / 羽海野チカ / 島村秀一, rating=8.5, number=2780]
Anime [id=28, name=大闹天宫, oldName=大闹天宫, message=1961年 / 万籁鸣、唐澄 / 西游记, rating=8.6, number=1853]
Anime [id=29, name=蜂蜜与四叶草II, oldName=ハチミツとクローバー II, message=12话 / 2006年6月29日 / 長井龍雪 / 羽海野チカ / 島村秀一, rating=8.5, number=1965]
Anime [id=30, name=虫师 续章 第2期, oldName=蟲師 続章 第2クール, message=10话 / 2014年10月18日, rating=8.6, number=1348]
Anime [id=31, name=千年女优, oldName=千年女優, message=1话 / 2001年7月28日 (Fantasia International Film Festival)、2002年9月14日 (日本) / 今敏 / 本田雄、今敏, rating=8.5, number=2943]
Anime [id=32, name=混沌武士, oldName=サムライチャンプルー, message=26话 / 2004年5月19日 / 渡辺信一郎, rating=8.5, number=2853]
Anime [id=33, name=虫师 续章, oldName=蟲師 続章, message=12话 / 2014年4月4日 / 長濵博史 / 漆原友紀 / 馬越嘉彦, rating=8.5, number=1828]
Anime [id=34, name=天空之城, oldName=天空の城ラピュタ, message=1986年8月2日 / 宮崎駿, rating=8.5, number=4391]
Anime [id=35, name=3月的狮子 第二季, oldName=3月のライオン 第2シリーズ, message=22话 / 2017年10月14日 / 羽海野チカ（白泉社 ヤングアニマル連載）, rating=8.6, number=546]
Anime [id=36, name=机动警察 和平保卫战, oldName=機動警察パトレイバー 2 the Movie, message=1993年8月7日 / 押井守, rating=8.6, number=485]
Anime [id=37, name=攻壳机动队2.0, oldName=GHOST IN THE SHELL / 攻殻機動隊2.0, message=2008年7月12日 / 押井守, rating=8.5, number=1255]
Anime [id=38, name=少女与战车 剧场版, oldName=ガールズ&パンツァー 劇場版, message=1话 / 2015年11月21日 / 水島努 / 杉本功, rating=8.4, number=2137]
Anime [id=39, name=CLANNAD, oldName=CLANNAD, message=23话 / 2007年10月4日, rating=8.4, number=7575]
Anime [id=40, name=瑞克和莫蒂 第二季, oldName=Rick and Morty Season 2, message=10话 / 2015-07-26, rating=8.5, number=405]
Anime [id=41, name=排球少年 乌野高校 VS 白鸟泽学园高校, oldName=ハイキュー!! 烏野高校 VS 白鳥沢学園高校, message=10话 / 2016年10月7日 / 満仲勧 / 古舘春一（集英社「週刊少年ジャンプ」連載）, rating=8.4, number=1211]
Anime [id=42, name=魔法少女小圆, oldName=魔法少女まどか☆マギカ, message=12话 / 2011年1月6日 / 新房昭之 / Magica Quartet / 岸田隆宏, rating=8.4, number=10524]
Anime [id=43, name=红辣椒, oldName=パプリカ, message=1话 / 2006年11月25日 / 今敏 / 筒井康隆, rating=8.4, number=2887]
Anime [id=44, name=机动战士Z高达, oldName=機動戦士Zガンダム, message=50话 / 1985年3月2日 / 富野由悠季 / 矢立肇 / 安彦良和, rating=8.4, number=1048]
Anime [id=45, name=新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你, oldName=REVIVAL OF EVANGELION 新世紀エヴァンゲリオン劇場版 DEATH (TRUE)² / Air / まごころを、君に, message=1998年3月7日 / 庵野秀明, rating=8.4, number=1774]
Anime [id=46, name=怪物, oldName=MONSTER, message=74话 / 2004年4月6日, rating=8.4, number=1308]
Anime [id=47, name=四叠半神话大系, oldName=四畳半神話大系, message=11话 / 2010年4月22日 / 湯浅政明 / 森見登美彦 / 伊東伸高, rating=8.4, number=3443]
Anime [id=48, name=歌牌情缘2, oldName=ちはやふる2, message=25话 / 2013年1月11日 / 浅香守生 / 末次由紀（講談社「BE・LOVE」連載）, rating=8.4, number=2126]
Anime [id=49, name=幽灵公主, oldName=もののけ姫, message=1话 / 1997年7月12日, rating=8.4, number=3313]
Anime [id=50, name=机动战士高达0080 口袋里的战争, oldName=機動戦士ガンダム0080 ポケットの中の戦争, message=6话 / 1989年3月25日 / 高山文彦 / 矢立肇、富野由悠季 / 美樹本晴彦, rating=8.4, number=1283]
Anime [id=51, name=星空清理者, oldName=プラネテス, message=26话 / 2003年10月4日, rating=8.4, number=1518]
Anime [id=52, name=攻壳机动队 S.A.C. Solid State Society, oldName=攻殻機動隊 STAND ALONE COMPLEX Solid State Society, message=1话 / 2006年9月1日, rating=8.4, number=1298]
Anime [id=53, name=死亡笔记, oldName=DEATH NOTE, message=37话 / 2006年10月4日 / 荒木哲郎 / 大場つぐみ、小畑健, rating=8.4, number=5897]
Anime [id=54, name=瑞克和莫蒂 第三季, oldName=Rick and Morty Season 3, message=10话 / 2017年4月1日, rating=8.6, number=280]
Anime [id=55, name=哆啦A梦 大山版, oldName=ドラえもん, message=1787话 / 1979年4月2日, rating=8.5, number=390]
Anime [id=56, name=空之境界 第五章 矛盾螺旋, oldName=空の境界 第五章 矛盾螺旋, message=1话 / 2008年8月16日 / 平尾隆之 / 奈須きのこ, rating=8.3, number=4454]
Anime [id=57, name=JOJO的奇妙冒险, oldName=ジョジョの奇妙な冒険, message=26话 / 2012年10月5日 / 荒木飛呂彦, rating=8.4, number=3466]
Anime [id=58, name=银魂' 延长战, oldName=銀魂' 延長戦, message=13话 / 2012年10月4日, rating=8.4, number=2206]
Anime [id=59, name=风之谷, oldName=風の谷のナウシカ, message=1话 / 1984年3月11日 / 宮崎駿, rating=8.3, number=2850]
Anime [id=60, name=福音战士新剧场版：序, oldName=ヱヴァンゲリヲン新劇場版:序, message=2007年9月1日 / 庵野秀明, rating=8.3, number=4741]
Anime [id=61, name=水星领航员 OVA, oldName=ARIA The OVA ～ARIETTA～, message=1话 / 2007年9月21日 / 佐藤順一 / 天野こずえ / 古賀誠, rating=8.4, number=589]
Anime [id=62, name=百变之星, oldName=カレイドスター, message=51话 / 2003年4月3日 / 佐藤順一、平池芳正（第27话以后）, rating=8.4, number=736]
Anime [id=63, name=昭和元禄落语心中 -助六再临篇-, oldName=昭和元禄落語心中 -助六再び篇-, message=12话 / 2017年1月6日 / 畠山守(小俣真一) / 雲田はるこ「昭和元禄落語心中」（講談社「ITAN」連載）, rating=8.4, number=661]
Anime [id=64, name=JOJO的奇妙冒险 星尘斗士 埃及篇, oldName=ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編, message=24话 / 2015年1月9日, rating=8.3, number=2134]
Anime [id=65, name=钢之炼金术师, oldName=鋼の錬金術師, message=51话 / 2003年10月4日 / 水島精二 / 荒川弘 / 伊藤嘉之, rating=8.3, number=4304]
Anime [id=66, name=棒球英豪, oldName=タッチ, message=101话 / 1985年3月24日 / あだち充, rating=8.4, number=991]
Anime [id=67, name=数码兽大冒险, oldName=デジモンアドベンチャー, message=54话 / 1999-03-07 / 本郷あきよし / 中鶴勝祥, rating=8.3, number=3221]
Anime [id=68, name=乒乓, oldName=ピンポン THE ANIMATION, message=11话 / 2014年4月10日, rating=8.3, number=3335]
Anime [id=69, name=排球少年 第二季, oldName=ハイキュー!! セカンドシーズン, message=25话 / 2015年10月3日 / 古舘春一（集英社「週刊少年ジャンプ」連載）, rating=8.3, number=1451]
Anime [id=70, name=虫师 续章 铃之雫, oldName=蟲師 鈴の雫, message=1话 / 2015年5月16日, rating=8.4, number=685]
Anime [id=71, name=水星领航员 第二季, oldName=ARIA The NATURAL, message=26话 / 2006年4月2日 / 佐藤順一 / 天野こずえ / 古賀誠, rating=8.3, number=1008]
Anime [id=72, name=少女革命, oldName=少女革命ウテナ, message=39话 / 1997年4月2日, rating=8.3, number=1190]
Anime [id=73, name=星际牛仔 天国之扉, oldName=カウボーイビバップ 天国の扉, message=1话 / 2001年9月1日 / 矢立肇, rating=8.3, number=1709]
Anime [id=74, name=十二国记, oldName=十二国記, message=45话 / 2002年4月9日 / 小林常夫、栗原ひばり(40話のみ) / 小野不由美 / 田中比呂人、楠本祐子, rating=8.3, number=1828]
Anime [id=75, name=瑞克和莫蒂 第一季, oldName=Rick and Morty Season 1, message=11话 / 2013-12-02, rating=8.4, number=483]
Anime [id=76, name=日常, oldName=日常, message=26话 / 2011年4月2日 / 石原立也 / あらゐけいいち / 西屋太志, rating=8.3, number=6826]
Anime [id=77, name=Code Geass 反叛的鲁路修, oldName=コードギアス 反逆のルルーシュ, message=25话 / 2006年10月5日 / 谷口悟朗 / 木村貴宏, rating=8.3, number=7354]
Anime [id=78, name=猎人, oldName=HUNTER×HUNTER, message=62话 / 1999年10月16日 / 古橋一浩 / 冨樫義博, rating=8.3, number=2033]
Anime [id=79, name=夏目友人帐 参, oldName=夏目友人帳 参, message=13话 / 2011年7月4日 / 大森貴弘 / 緑川ゆき / 髙田晃, rating=8.3, number=4757]
Anime [id=80, name=永生之酒, oldName=BACCANO! -バッカーノ!-, message=16话 / 2007年7月26日 / 大森貴弘 / 成田良悟 / 岸田隆宏, rating=8.3, number=4446]
Anime [id=81, name=王牌投手 振臂高挥, oldName=おおきく振りかぶって, message=26话 / 2007年4月12日, rating=8.3, number=1326]
Anime [id=82, name=棋魂, oldName=ヒカルの碁, message=75话 / 2001年10月10日 / 西澤晋、神谷純、えんどうてつや / ほったゆみ、小畑健 / 本橋秀之、関口可奈味、上田美由紀、芝美奈子, rating=8.3, number=2297]
Anime [id=83, name=皇家国教骑士团 OVA, oldName=HELLSING OVA, message=10话 / 2006年2月10日 / 平野耕太, rating=8.3, number=2129]
Anime [id=84, name=哆啦A梦, oldName=ドラえもん, message=2005年4月15日 / 藤子・F・不二雄, rating=8.3, number=1188]
Anime [id=85, name=物怪, oldName=モノノ怪, message=12话 / 2007年7月12日, rating=8.3, number=1883]
Anime [id=86, name=爆漫王。3, oldName=バクマン。3, message=25话 / 2012年10月6日 / 秋田谷典昭 / 小畑健、大場つぐみ, rating=8.3, number=2011]
Anime [id=87, name=王牌投手 振臂高挥～夏日大会篇～, oldName=おおきく振りかぶって～夏の大会編～, message=14话 / 2010年4月1日 / 吉田隆彦, rating=8.3, number=986]
Anime [id=88, name=机器人总动员, oldName=Wall·E, message=1话 / 2008-06-27 / Andrew Stanton, rating=8.3, number=2318]
Anime [id=89, name=机动战士高达 逆袭的夏亚, oldName=機動戦士ガンダム 逆襲のシャア, message=1988年3月12日 / 富野由悠季 / 富野由悠季 / 北爪宏幸, rating=8.3, number=899]
Anime [id=90, name=FLCL, oldName=FLCL, message=6话 / 2000年4月26日 / 鶴巻和哉 / GAINAX / 貞本義行, rating=8.3, number=2015]
Anime [id=91, name=太空丹迪 第二季, oldName=スペース☆ダンディ シーズン2, message=13话 / 2014年7月6日, rating=8.3, number=1229]
Anime [id=92, name=飞跃巅峰！, oldName=トップをねらえ!, message=6话 / 1988年10月7日 / 庵野秀明 / 岡田斗司夫, rating=8.3, number=1537]
Anime [id=93, name=龙猫, oldName=となりのトトロ, message=1话 / 1988年4月16日 / 宮崎駿, rating=8.2, number=3632]
